V1,V2,V3
-180,47.4066235864297,-5390.55712890625
-179.83284789644,47.4066235864297,-5638.70751953125
-179.66569579288,47.4066235864297,-5570.87744140625
-179.49854368932,47.4066235864297,-5571.3974609375
-179.331391585761,47.4066235864297,-5629.46728515625
-179.164239482201,47.4066235864297,-5677.58740234375
-178.997087378641,47.4066235864297,-5638.47265625
-178.829935275081,47.4066235864297,-5676.3427734375
-178.662783171521,47.4066235864297,-5605.982421875
-178.495631067961,47.4066235864297,-5708.6328125
-178.328478964401,47.4066235864297,-5670.4326171875
-178.161326860841,47.4066235864297,-5622.5625
-177.994174757282,47.4066235864297,-5586.11279296875
-177.827022653722,47.4066235864297,-5570.97216796875
-177.659870550162,47.4066235864297,-5655.38232421875
-177.492718446602,47.4066235864297,-5751.482421875
-177.325566343042,47.4066235864297,-5719.68212890625
-177.158414239482,47.4066235864297,-5723.3525390625
-176.991262135922,47.4066235864297,-5695.8623046875
-176.824110032362,47.4066235864297,-5586.98193359375
-176.656957928803,47.4066235864297,-5635.66162109375
-176.489805825243,47.4066235864297,-5647.1416015625
-176.322653721683,47.4066235864297,-5682.8017578125
-176.155501618123,47.4066235864297,-5745.82177734375
-175.988349514563,47.4066235864297,-5733.921875
-175.821197411003,47.4066235864297,-5707.78173828125
-175.654045307443,47.4066235864297,-5693.8623046875
-175.486893203883,47.4066235864297,-5671.26220703125
-175.319741100324,47.4066235864297,-5637.17236328125
-175.152588996764,47.4066235864297,-5660.79248046875
-174.985436893204,47.4066235864297,-5701.482421875
-174.818284789644,47.4066235864297,-5731.55224609375
-174.651132686084,47.4066235864297,-5661.578125
-174.483980582524,47.4066235864297,-5651.578125
-174.316828478964,47.4066235864297,-5747.0478515625
-174.149676375405,47.4066235864297,-5764.5380859375
-173.982524271845,47.4066235864297,-5709.328125
-173.815372168285,47.4066235864297,-5710.90771484375
-173.648220064725,47.4066235864297,-5656.88671875
-173.481067961165,47.4066235864297,-5616.88671875
-173.313915857605,47.4066235864297,-5433.01708984375
-173.146763754045,47.4066235864297,-5419.40673828125
-172.979611650485,47.4066235864297,-5623.40673828125
-172.812459546926,47.4066235864297,-5450.18701171875
-172.645307443366,47.4066235864297,-5323.2470703125
-172.478155339806,47.4066235864297,-5417.16015625
-172.311003236246,47.4066235864297,-5399.01025390625
-172.143851132686,47.4066235864297,-5419.08056640625
-171.976699029126,47.4066235864297,-5545.16015625
-171.809546925566,47.4066235864297,-5550.67041015625
-171.642394822006,47.4066235864297,-5613.87060546875
-171.475242718447,47.4066235864297,-5708.54541015625
-171.308090614887,47.4066235864297,-5643.3955078125
-171.140938511327,47.4066235864297,-5512.845703125
-170.973786407767,47.4066235864297,-5554.3056640625
-170.806634304207,47.4066235864297,-5582.35546875
-170.639482200647,47.4066235864297,-5477.9453125
-170.472330097087,47.4066235864297,-5434.17529296875
-170.305177993528,47.4066235864297,-5509.27490234375
-170.138025889968,47.4066235864297,-4959.2548828125
-169.970873786408,47.4066235864297,-5453.875
-169.803721682848,47.4066235864297,-5471.10498046875
-169.636569579288,47.4066235864297,-5542.0546875
-169.469417475728,47.4066235864297,-5497.4150390625
-169.302265372168,47.4066235864297,-5407.41552734375
-169.135113268608,47.4066235864297,-5471.6953125
-168.967961165049,47.4066235864297,-5373.6455078125
-168.800809061489,47.4066235864297,-5369.59521484375
-168.633656957929,47.4066235864297,-5317.88525390625
-168.466504854369,47.4066235864297,-5333.67529296875
-168.299352750809,47.4066235864297,-5387.89453125
-168.132200647249,47.4066235864297,-5379.61474609375
-167.965048543689,47.4066235864297,-5479.06494140625
-167.797896440129,47.4066235864297,-5470.66455078125
-167.63074433657,47.4066235864297,-5441.20458984375
-167.46359223301,47.4066235864297,-5447.90478515625
-167.29644012945,47.4066235864297,-5444.36474609375
-167.12928802589,47.4066235864297,-5420.91748046875
-166.96213592233,47.4066235864297,-5416.857421875
-166.79498381877,47.4066235864297,-5409.41748046875
-166.62783171521,47.4066235864297,-5388.3076171875
