Cruise,Sonobuoy Number,Date,Latitude,Longitude,Sighting Number,Opportunistic Buoy?,Sonobuoy Type,Channel,Depth,Hours to Scuttle,Bad Buoys,Ship Noise?,Difar Signal?,Water Noise?,Biological Sounds?,Sounds Detected,DAT Tape Number,Additional Tapes?,Reception Distance (nmi),Recording Reviewed?,Comments
1635,1,8/1/2008 13:29,47.412,-125.392,29,Other,77,52,10,8,NA,1,1,1,0,NA,1,0,1,0,may be bad
1635,2,8/1/2008 13:42,47.412,-125.392,29,Other,77,52,10,8,1,1,1,1,0,NA,1,0,2,0,Buoy dead at 13:48
1635,3,8/1/2008 13:52,47.4338,-125.411,29,Other,77,60,10,8,2,1,1,1,0,NA,1,0,NA,0,dead at 13:59; same tape as other 2 buoys (first time error)
1635,5,8/2/2008 10:16,46.701833,-127.967167,30,Other,77,52,10,8,1,1,1,1,0,NA,2,0,1,0,NA
1635,6,8/1/2008 12:11,46.568,-128.041,30,Other,77,60,10,8,2,1,1,1,0,NA,2,0,1,0,"12:15 :  Whales within 300m of SB
12:16 : signal going bad may be a screamer
12:19:  very faint
12:23:  Tape is out"
1635,9,8/3/2008 12:59,45.375,-130.07,37,Other,77,60,10,8,1,1,1,1,0,NA,3,0,1,0,"Strong radio signal
13:14 - In and out of reception
13:18 - may be whale sounds, 300m from buoy
13:19 - SB going dead
13:30 - stop recording"
1635,13,8/4/2008 10:26,45.429667,-130.636,41,Other,77,62,10,8,2,1,1,1,0,NA,4,0,NA,0,"REC start at 10:33
10:35 - aq
10:37 - SB is 200m off port beam
10:38 - signal going bad
10:41 - radio signal strong, ac sig not great though
10:47 - sb ahead at 150m"
1635,15,8/4/2008 14:07,45.341,-130.2527,42,Other,77,64,10,8,0,1,1,1,0,NA,5,0,NA,0,"May be a bit of a screamer, but can hear difar, ship and water, strong radio signal
14:13 - whale at 500m in 6:00 position, going back to course and speed, will leave SB recording
14:19- SB signal gone
14:22 - Stop REC"
1635,16,8/6/2008 7:34,46.608,-127.551,51,Other,77,66,10,8,0,1,1,1,0,NA,6,0,NA,0,"7:35 - strong radio signal
7:36 - whale was less than 200m off beam/stern
7:38 - returning to base course and speed
7:40 - signal in and out
7:57 -stop REC"
1635,17,8/6/2008 15:16,45.053,-128.121,58,Other,77,68,10,8,0,1,1,1,0,NA,7,0,NA,0,"Blue Whale
15:18 - 7 knots; 90L
15:19 - 20R Buoy faint
15:20 - High arch slow to 1/2 speed
15:21 - Launching RHIB
15:28 - Going to let record and prep more sb's
15:29 - whale at port beam (flukes)"
1635,18,8/6/2008 15:33,44.55,-127.31,58,Other,77,64,10,8,0,1,1,1,0,NA,8,0,NA,0,"15:36 - signal in and out was good until now
15:40 - faint
15:52 - still rec animal is taking 20 min dives, this buoy is getting out of range, will prep another"
1635,19,8/6/2008 16:02,44.874,-127.808,58,Other,77,72,10,8,0,1,1,1,0,NA,9,0,NA,0,"16:03 - whale 300m off port bow
16:03 - rec good so far
16:35 - off chase still rec; reception still seems ok
17:25:37 - STOP REC"
