Cruise,Sonobuoy Number,Date,Latitude,Longitude,Sighting Number,Opportunistic Buoy?,Sonobuoy Type,Channel,Depth,Hours to Scuttle,Bad Buoys,Ship Noise?,Difar Signal?,Water Noise?,Biological Sounds?,Sounds Detected,DAT Tape Number,Additional Tapes?,Reception Distance (nmi),Recording Reviewed?,Comments
1630,12,9/25/2006 16:09,11.133,-89.383,1575,Other,57b,14,90,8,0,1,0,0,0,NA,5,0,NA,0,not sure if good?
1630,13,9/25/2006 16:34,11.141,-89.4,1575,Other,57b,2,90,8,0,1,0,0,0,NA,5,0,NA,0,NA
1630,14,10/11/2006 12:48,10.698,-98.085,1678,Other,57,14,90,8,0,1,0,1,0,NA,6,0,2,0,NA
1630,15,11/1/2006 11:00,15.551,-101.06,1809,Other,77,30,999,8,0,1,0,0,0,NA,7,0,NA,0,NA
1630,16,11/1/2006 11:23,15.539,-101.039,1809,Other,57b,14,90,8,0,1,0,1,0,NA,7,0,NA,0,NA
1630,17,11/5/2006 12:30,15.183,-97.058,1866,Other,57b,14,90,8,0,1,0,1,0,NA,8,0,2,0,NA
1630,18,11/6/2006 16:29,12.637,-99.351,1876,Other,57,14,90,8,0,1,0,0,1,NA,9,0,2,0,NA
1630,19,11/14/2006 12:30,17.32,-104.119,1904,Other,57b,14,90,8,0,1,0,1,1,NA,10,1,2,0,NA
1630,20,11/26/2006 19:06,18.333,-106.54,NA,CTD,77,50,999,8,0,1,1,1,1,dw,12,0,4,0,NA
1630,21,11/26/2006 19:15,18.315,-106.553,NA,CTD,57,57,90,8,0,1,0,1,1,dw,12,0,4,0,NA
1630,22,11/28/2006 20:11,13.961,-110.106,NA,CTD,77,30,999,8,2,1,1,0,0,NA,13,0,NA,0,NA
1630,23,11/29/2006 17:35,14.849,-112.579,1965,Other,77,30,999,8,0,1,1,0,0,NA,14,0,NA,0,NA
1630,24,11/30/2006 17:53,16.988,-113.405,NA,CTD,57,14,90,8,0,1,0,0,0,NA,15,0,NA,0,right channel
1630,25,11/30/2006 17:53,16.988,-113.405,NA,CTD,77,30,999,8,0,1,1,0,0,NA,15,0,NA,0,left channel
1630,26,12/1/2006 19:57,17.942,-115.751,NA,CTD,57,14,90,8,0,1,0,1,0,NA,16,0,NA,0,right channel
1630,27,12/1/2006 19:59,17.942,-115.751,NA,CTD,77,30,999,8,0,1,1,1,0,NA,16,0,NA,0,left channel
1630,28,12/2/2006 17:01,20.119,-116.492,NA,CTD,77,30,999,8,0,1,1,0,0,NA,17,0,NA,0,left channel
1630,29,12/2/2006 17:01,20.119,-116.492,NA,CTD,57b,14,999,8,0,1,0,0,0,NA,17,0,NA,0,right channel
1630,30,12/3/2006 19:04,23.093,-117.612,NA,CTD,77,30,999,8,0,0,1,1,1,NA,18,0,NA,0,left channel
1630,31,12/3/2006 19:04,23.093,-117.612,NA,CTD,57b,14,90,8,0,0,0,1,1,NA,18,0,NA,0,right channel
1630,32,12/4/2006 19:12,25.095,-118.209,NA,CTD,57b,14,90,8,0,1,0,1,0,NA,19,1,NA,0,NA
1630,33,12/6/2006 10:37,31.1903,-117.4738,NA,CTD,57b,14,90,8,1,1,0,1,1,NA,21,0,NA,0,NA
1631,25,10/11/2006 18:35,-12.7636,-90.9187,259,Other,77a,64,999,8,0,1,1,1,1,NA,26,0,NA,0,deployed w/in 500 m of whale; s260 orcas also in area
1631,26,10/13/2006 8:12,-9.9566,-94.7677,264,Other,77a,56,999,8,0,1,1,1,1,NA,27,0,NA,0,NA
1631,27,10/13/2006 11:59,-9.615,-95.1657,265,Other,77a,63,999,8,0,1,1,1,1,NA,28,0,5,0,deployed w/in 500  m of whale
1631,28,10/13/2006 16:49,-9.4357,-95.6886,268,Other,77a,55,999,8,0,1,1,1,1,NA,29,0,7,0,deployed w/in 600m of whale
1631,29,10/15/2006 11:43,-5.8721,-98.0331,277,Other,77a,69,999,8,0,1,1,1,0,NA,30,0,5,0,deployed w/in 350m of whale
1631,30,10/15/2006 14:32,-5.5521,-97.8974,278,Other,77a,53,999,8,0,1,1,1,0,NA,31,0,6,0,deployed w/in 0.5nmi of whales
1631,31,10/16/2006 9:00,-3.3778,-97.0228,282,Other,77a,60,999,8,0,1,1,1,0,NA,32,0,6,0,deployed w/in 1nmi of whales
1631,32,10/16/2006 13:43,-2.7742,-96.6543,284,Other,77a,56,999,8,0,1,1,1,1,NA,33,0,6,0,deployed w/in 100m of whales
1631,33,10/16/2006 18:10,-2.3479,-96.3028,286,Other,77a,53,999,8,0,1,1,1,1,NA,34,0,NA,0,"deployed w/in 500m of whale
19:50 deployed 2nd buoy rt=sb33, lft=sb34"
1631,34,10/16/2006 19:50,-2.2504,-96.2993,NA,CTD,77a,64,999,8,0,1,1,1,1,NA,34,1,NA,0,near s286 blue whale; rt=ch53 (sb33); lft=ch64 (sb34); 21:24 start SBDAT35 only Ch64(SB34)
1631,35,10/17/2006 9:18,-0.7984,-95.7093,296,Other,77a,62,999,8,0,1,1,1,1,NA,36,0,10,0,"deployed w/in 600m of whale; 09:23 ran over buoy, deployed a second one at -0.8008S, -95.7039W while whale was at 12ret"
1631,36,10/18/2006 7:50,1.7617,-94.8824,306,Other,77a,66,999,8,0,1,1,1,0,NA,37,0,NA,0,deployed w/in 200m of whale
1631,37,10/19/2006 6:06,3.2289,-92.7788,316,Other,77a,56,999,8,0,1,1,1,1,NA,38,0,NA,0,deployed w/in 500m of whale
1631,38,10/21/2006 12:29,9.1642,-96.118,332,Other,77a,60,999,8,0,1,1,1,1,NA,39,0,7,0,deployed w/in 400m of whale
1631,39,10/21/2006 14:38,9.3348,-96.2435,333,Other,77a,58,999,8,0,1,1,1,1,NA,40,0,9,0,deployed w/in 300m of whale
1631,40,10/26/2006 7:54,1.6335,-106.641,353,Other,77a,66,999,8,2,1,1,1,0,NA,41,0,NA,0,"deployed w/in 400m of whale; at 08:09 second sb deployed (ch56) at 1.644N, -106.6453W; rt=ch66 (sb40a), lf=ch56(sb40b)"
1631,41,11/23/2006 19:17,8.017,-105.6768,NA,CTD,77a,64,999,8,0,1,1,1,1,NA,42,0,NA,0,NA
1631,42,11/29/2006 14:18,12.9459,-118.1232,555,Other,77a,63,999,8,0,1,1,1,0,NA,43,0,NA,0,deployed w/in 400m of whale
1631,43,11/29/2006 18:10,13.3809,-117.7535,556,Other,77a,999,999,8,0,1,1,1,0,NA,44,0,NA,0,buoy deployed w/in 500m of whale
1631,44,12/6/2006 10:57,30.6023,-117.7663,573,Other,77a,60,999,8,0,1,1,1,0,NA,45,0,NA,0,NA
1630,1,7/30/2006 9:15,30.89,-116.512,1012,Other,77a,85,999,8,1,1,1,1,1,NA,1,0,NA,0,NA
1630,2,7/30/2006 18:56,30.079,-116.378,1031,Other,57,18,90,8,0,1,0,0,0,NA,1,0,NA,0,NA
1630,3,8/2/2006 17:54,24.301,-115.978,1064,Other,77a,30,999,8,1,0,0,0,0,NA,1,0,NA,0,NA
1630,4,8/7/2006 18:13,22.633,-112.047,1094,Other,53d,23,90,8,2,0,0,0,0,NA,1,0,NA,0,not sure if good?
