"Cruise","Sonobuoy Number","Date","Latitude","Longitude","Sighting Number","Opportunistic Buoy?","Sonobuoy Type","Channel","Depth","Hours to Scuttle","Bad Buoys","Ship Noise?","Difar Signal?","Water Noise?","Biological Sounds?","Sounds Detected","DAT Tape Number","Additional Tapes?","Reception Distance (nmi)","Recording Reviewed?","Comments"
1616,44,2000-11-02 19:21:00,-6.9928,-81.095,358,"Other","53",57,999,999,0,1,1,1,1,NA,23,0,NA,0,"CHECK ALL LATS AND ALL LONGS… THEY MAY BE IN DIFFERENT FORMATS!!!; CHECK INFO IN GREEN BOOK, NOT SURE IF THIS IS CORRECT?"
1616,45,2000-11-02 23:04:00,-6.91,-80.835,999,"Other","53",61,999,999,0,1,1,1,1,NA,24,0,NA,0,"CHECK ALL LATS AND ALL LONGS… THEY MAY BE IN DIFFERENT FORMATS!!!; CHECK INFO ON BUOYS, AND SIGHTING NUMBER… THIS ONE IS KINDA MESSED UP"
1616,46,2000-11-02 23:42:00,-6.8666,-80.745,NA,"Other","53",58,999,999,0,1,1,1,1,NA,24,0,NA,0,"CHECK ALL LATS AND ALL LONGS… THEY MAY BE IN DIFFERENT FORMATS!!! CHECK ALL INFO, THERE MAY BE SOME OF THIS WRONG"
1616,50,2000-11-26 11:27:00,7.454,-98.0603,478,"Other","53",17,90,999,1,1,1,1,1,NA,25,0,NA,0,NA
1616,51,2000-11-29 17:43:00,9.3098,-108.1698,506,"Other","53",62,90,999,0,1,1,1,1,NA,26,0,NA,0,NA
1616,52,2000-12-02 17:05:00,14.796,-113.3952,520,"Other","53",57,90,999,0,1,1,1,0,NA,27,0,NA,0,NA
1616,55,2000-12-05 17:48:00,23.3938,-113.4475,556,"Other","53",60,90,999,1,1,1,1,1,NA,28,0,NA,0,NA
1616,57,2000-12-05 18:36:00,23.5215,-113.4743,999,"Night","53",63,90,999,0,1,1,1,1,NA,28,0,NA,0,NA
1616,58,2000-12-06 18:37:00,26.052,-115.201,999,"Night","53",60,90,999,0,1,1,1,1,NA,29,0,NA,0,NA
1616,59,2000-12-06 18:45:00,26.065,-115.214,999,"Night","53",55,90,999,0,1,1,1,1,NA,29,0,NA,0,NA
1615,5,2000-08-06 19:11:00,24.0896,-111.6546,1104,"Other","53A",21,90,999,1,1,1,0,1,NA,1,0,NA,0,NA
1615,6,2000-08-07 09:57:00,23.0736,-110.6755,1108,"Other","53A",9,90,999,0,1,1,1,0,NA,1,0,NA,0,NA
1615,7,2000-08-08 14:21:00,21.9325,-108.7613,1121,"Other","57A",9,90,999,0,1,0,0,0,NA,2,0,NA,0,NA
1615,9,2000-09-21 10:05:00,99.999,999.999,1341,"Other","53",15,90,999,1,1,1,1,0,NA,2,0,NA,0,"CHECK LAT LONG"
1615,10,2000-10-12 19:15:00,10.0903,-91.2084,1543,"Other","53A",19,90,999,0,1,1,1,0,NA,3,0,NA,0,NA
1615,11,2000-10-13 11:27:00,10.9103,-91.886,1545,"Other","53A",12,90,999,0,1,1,1,0,NA,4,0,NA,0,NA
1615,12,2000-10-14 19:36:00,8.7325,-94.3221,1561,"Other","53A",17,90,999,0,1,1,1,0,NA,4,1,NA,0,NA
1615,14,2000-10-31 18:10:00,9.8524,-95.615,1648,"Other","53A",20,90,999,1,1,1,1,0,NA,6,0,NA,0,NA
1615,15,2000-11-01 08:02:00,8.8943,-96.6045,1654,"Other","53A",20,90,999,0,1,1,1,0,NA,7,0,NA,0,NA
1615,16,2000-11-13 11:56:00,15.2642,-102.6783,1704,"Other","53A",28,90,999,0,1,1,1,0,NA,7,0,NA,0,NA
